,Long Swap USDPLN,Short Swap USDPLN,1st Close,2nd Close,1st Exposure,2nd Exposure,Dzienny Profit,Long Swap USDNOK,Short Swap USDNOK,Daily P/L
2014-06-25,-5.622759856630825e-05,4.477611940298507e-05,6.1304,3.05346,100134.5323135148,-100000,632.8791437490208,-5.545735749005745e-05,4.4162747904314037e-05,633.4397039958089
2014-06-26,-5.902777777777777e-05,4.9999999999999996e-05,6.12718,3.05891,100134.5323135148,-100000,-236.76765502118087,-5.821917808219179e-05,4.9315068493150684e-05,-236.0845431493972
2014-06-27,-5.787037037037037e-05,4.88888888888889e-05,6.12835,3.05192,100134.5323135148,-100000,257.1350113699327,-5.707762557077626e-05,4.821917808219178e-05,257.80429415423436
2014-06-30,-6.398809523809524e-05,5.413105413105413e-05,6.13211,3.05039,100134.5323135148,-100000,111.6385368883357,-6.311154598825831e-05,5.338953284158764e-05,112.38251615561653
2014-07-01,-7.049266247379455e-05,5.2571166207529844e-05,6.16443,3.04363,100134.5323135148,-100000,738.4096595602969,-6.952700956319462e-05,5.1851013245782864e-05,739.0075203046312
2014-07-02,-5.902777777777777e-05,4.9999999999999996e-05,6.17304,3.04423,100134.5323135148,-100000,113.34166933097548,-5.821917808219179e-05,4.9315068493150684e-05,114.03973193470475
2014-07-03,-5.833333333333333e-05,4.933333333333334e-05,6.18951,3.0485,100134.5323135148,-100000,108.58631513124963,-5.753424657534247e-05,4.8657534246575356e-05,109.2738023607026
2014-07-04,-5.810185185185185e-05,4.911111111111111e-05,6.1903,3.053,100134.5323135148,-100000,-141.9196479716411,-5.7305936073059365e-05,4.8438356164383555e-05,-141.23801289385509
2014-07-07,-6.398809523809524e-05,5.413105413105413e-05,6.15753,3.05529,100134.5323135148,-100000,-587.358339498187,-6.311154598825831e-05,5.338953284158764e-05,-586.6129516982826
2014-07-08,-5.787037037037037e-05,4.88888888888889e-05,6.1845,3.04701,100134.5323135148,-100000,702.9089576718707,-5.707762557077626e-05,4.821917808219178e-05,703.5892892181236
2014-07-09,-6.398809523809524e-05,5.413105413105413e-05,6.15097,3.03622,100134.5323135148,-100000,-150.157614978727,-6.311154598825831e-05,5.338953284158764e-05,-149.4021938998622
2014-07-10,-6.398809523809524e-05,5.413105413105413e-05,6.1689,3.0475,100134.5323135148,-100000,-108.79767190634448,-6.311154598825831e-05,5.338953284158764e-05,-108.04586361622745
2014-07-11,-5.740740740740741e-05,4.844444444444445e-05,6.17619,3.0466,100134.5323135148,-100000,144.20398255070177,-5.662100456621005e-05,4.778082191780823e-05,144.8761015631848
2014-07-14,-5.5783242258652095e-05,4.761904761904762e-05,6.17855,3.046,100134.5323135148,-100000,57.23313953249453,-5.501908825510891e-05,4.6966731898238756e-05,57.904786619516074
2014-07-15,-5.355555555555555e-05,4.68066491688539e-05,6.2097,3.0509,100134.5323135148,-100000,312.6943697377192,-5.282191780821918e-05,4.6165462193938086e-05,313.37678129760957
2014-07-16,-6.194690265486727e-05,4.90063233965673e-05,6.196,3.05803,100134.5323135148,-100000,-454.46971989747726,-6.109831494726634e-05,4.833500389798419e-05,-453.8545938520537
2014-07-17,-5.671296296296296e-05,4.777777777777778e-05,6.21104,3.0734,100134.5323135148,-100000,-289.885460971429,-5.593607305936073e-05,4.7123287671232866e-05,-289.23270590465586
2014-07-18,-5.671296296296296e-05,4.777777777777778e-05,6.1832,3.07161,100134.5323135148,-100000,-368.83014547243965,-5.593607305936073e-05,4.7123287671232866e-05,-368.1805448646612
2014-07-21,-5.532786885245902e-05,4.7178130511463834e-05,6.19385,3.07113,100134.5323135148,-100000,180.8920713241905,-5.45699528407815e-05,4.653185475103283e-05,181.5460330764353
