,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap USDNOK,Open Bid_x,Open Bid_y,Open Ask_y
2020-11-06,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-11-07,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-11-08,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-11-09,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.13,0.17
2020-11-10,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-11-11,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.07,0.23
2020-11-12,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-11-13,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-11-14,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-11-15,0.1,-0.11,0.19,-2.272727272727272e-06,0.03,-0.1,0.2
2020-11-16,0.08,0.05,0.15,-1.8004115226337406e-06,0.08,-0.11,0.19
2020-11-17,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-11-18,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.06,0.24
2020-11-19,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.08,0.22
2020-11-20,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-11-21,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-11-22,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-11-23,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.05,0.25
2020-11-24,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.01,0.29
2020-11-25,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.01,0.29
2020-11-26,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.01,0.29
2020-11-27,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.03,0.27
2020-11-28,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.03,0.27
2020-11-29,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.03,0.27
2020-11-30,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.03,0.27
2020-12-01,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.05,0.25
2020-12-02,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-12-03,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
2020-12-04,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.14,0.16
2020-12-05,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.14,0.16
2020-12-06,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.14,0.16
2020-12-07,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
2020-12-08,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.1,0.2
2020-12-09,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-12-10,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.11,0.19
2020-12-11,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-12-12,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-12-13,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-12-14,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.09,0.21
2020-12-15,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
2020-12-16,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.12,0.18
2020-12-17,0.03,-0.11,0.19,-4.31499460625674e-06,0.03,-0.04,0.26
2020-12-18,0.04,-0.11,0.19,-4.006410256410255e-06,0.04,-0.01,0.29
2020-12-19,0.04,-0.11,0.19,-4.006410256410255e-06,0.04,-0.01,0.29
2020-12-20,0.04,-0.11,0.19,-4.006410256410255e-06,0.04,-0.01,0.29
2020-12-21,0.04,-0.11,0.19,-4.006410256410255e-06,0.04,-0.02,0.28
2020-12-22,0.04,-0.11,0.19,-4.006410256410255e-06,0.04,0.04,0.34
